RANK,NAME,TEAM,POS,AGE,GP,MPG,USGp,Top,FTA,FTp,TwPA,TwPp,ThPA,ThPp,eFGp,TSp,PPG,RPG,APG,SPG,BPG,TPG,VI,ORTG,DRTG
47,JJ Redick,Phi,G,34.97,12,31.3,17.4,14.2,20,0.85,37,0.486,87,0.414,0.581,0.606,13.4,1.4,1.6,0.08,0.25,1.83,4,106.6,108.2
48,Ben Simmons,Phi,G-F,22.9,12,35.1,16.6,19.3,40,0.575,116,0.621,0,0,0.621,0.625,13.9,7.1,6,1.25,1,2.67,9.6,118.1,101.3
49,Jordan Bell,Gol,F,24.43,15,7,15.4,5.3,10,0.7,31,0.548,0,0,0.548,0.579,2.7,1.3,0.7,0.27,0.47,0.13,7.7,128.6,101.6
50,Quinn Cook,Gol,G,26.23,17,11.4,17.5,7.7,4,1,36,0.472,34,0.324,0.479,0.495,4.2,1.1,0.7,0.18,0.06,0.35,5.2,99.4,110.2
51,Kevin Durant,Gol,F,30.7,12,36.8,33,12.8,113,0.903,163,0.552,80,0.438,0.586,0.661,32.3,4.9,4.5,1.08,1,3.58,9.7,119.7,105.8
52,Clint Capela,Hou,C,25.07,11,30.1,15.1,14.1,35,0.429,82,0.561,0,0,0.561,0.549,9.7,10.3,1.5,0.27,1.09,1.45,7.1,115.2,104.6
53,Eric Gordon,Hou,G,30.47,11,37.2,20.3,14.3,28,0.857,55,0.527,95,0.4,0.573,0.604,17.8,2.5,1.3,0.64,1,2.45,4.2,107,112
54,Gerald Green,Hou,G-F,33.38,11,8.8,20.4,6.6,5,1,11,0.182,29,0.345,0.425,0.462,3.5,1.1,0.1,0.27,0.27,0.27,3.3,91.9,101.4
55,James Harden,Hou,G,29.8,11,38.6,37.1,14.2,98,0.837,127,0.48,137,0.35,0.504,0.567,31.6,6.9,6.6,2.18,0.91,4.64,11.7,110.2,101.8
56,Chris Paul,Hou,G,34.11,11,36.1,22.6,18.1,45,0.844,85,0.576,63,0.27,0.503,0.557,17,6.4,5.5,2.18,0.64,3.36,9.3,108.8,102.8
57,PJ Tucker,Hou,F,34.11,11,38.7,11,7.5,23,0.826,31,0.452,57,0.456,0.602,0.637,11.4,7.5,1.7,1.73,0.73,0.73,5.4,133.1,104.4
58,Joel Embiid,Phi,F-C,25.25,11,30.4,30.2,16.8,90,0.822,120,0.467,39,0.308,0.465,0.559,20.2,10.5,3.4,0.73,2.27,3.64,11.8,105.4,99
59,James Ennis III,Phi,F,28.95,11,21.1,15,12.1,19,0.632,32,0.688,32,0.281,0.555,0.574,7.5,3.8,1.1,0.36,0.27,0.91,6,113.5,100.5
60,Tim Frazier,Mil,G,28.62,11,3.6,18.2,17.8,2,1,7,0.714,6,0.5,0.731,0.756,1.9,0.8,0.9,0.18,0,0.27,12.3,,
61,Meyers Leonard,Por,F-C,27.29,11,15.5,18.6,5.5,9,0.333,32,0.625,33,0.424,0.631,0.616,7.7,3.6,1.1,0.18,0.09,0.36,8.1,125.2,96.4
62,Sterling Brown,Mil,G,24.34,11,14.7,13.5,15.7,11,0.727,17,0.471,21,0.333,0.487,0.525,4.1,2.7,1.7,0.55,0.27,0.73,7.2,107.5,96.7
63,Jonah Bolden,Phi,F,23.45,10,7.9,15.9,30.2,4,0.5,3,0.333,16,0.25,0.368,0.385,1.6,1.4,0.3,0.2,0.1,0.9,4.4,66.5,97.8
64,Boban Marjanovic,Phi,C,30.83,10,10.5,25.2,22.5,19,0.842,37,0.649,3,0,0.6,0.662,6.4,3.6,1.1,0.2,0.3,1.4,11.2,114.1,93.7
65,Greg Monroe,Phi,C,29.03,10,9,22.6,8.3,9,0.778,36,0.417,4,0.25,0.413,0.455,4,3.1,0.4,0.5,0.4,0.4,7.6,103.6,97.3
66,Austin Rivers,Hou,G,26.87,10,21.5,14.8,11,6,0.667,27,0.407,35,0.457,0.565,0.572,7.4,2.1,1,0.5,0.1,0.8,4.6,109,100.8
67,Mike Scott,Phi,F,30.91,10,19.3,12,12.8,2,1,13,0.692,34,0.353,0.574,0.585,5.6,3.4,0.5,0.3,0,0.7,4.4,106.1,101.6
68,T.J. McConnell,Phi,G,27.22,9,8.3,15.8,3.6,0,0,27,0.444,0,0,0.444,0.444,2.7,0.7,1.2,0.22,0.11,0.11,6.3,106.4,109.4
